arch,seed,val_accuracy_mean,val_accuracy_std,foldcnt_x,val_f1score_mean,val_f1score_std,foldcnt_y,nsamples
resnet50,42,0.903316823951989,0.010637530641082348,20,0.9030938644792956,0.010719207892238318,20,670
resnet50,1328,0.8995844767195413,0.013165398726035142,20,0.8993869674442875,0.013335131864864729,20,670
resnet50,1329,0.9024201860651898,0.011747110663358066,20,0.9023204608598242,0.01208331333133183,20,670
resnet50,1330,0.899658768935591,0.015305826479800704,20,0.8995786863660529,0.015344121900833988,20,670
resnet50,1331,0.9002553376614685,0.014040528033350094,20,0.9001204867394887,0.01427522308116569,20,670
resnet50,1332,0.9018240635388082,0.013706565266092095,20,0.9017949091308101,0.01388396411749151,20,670
resnext50,42,0.9352711777435692,0.012190594738180965,20,0.9351548980507722,0.01221676537351831,20,670
resnext50,1328,0.938182071704259,0.011674664444599516,20,0.9379836620948991,0.011905947354444087,20,670
resnext50,1329,0.9378828949423287,0.011092779334719007,20,0.9378207169195839,0.011187077556127209,20,670
resnext50,1330,0.9413916962273833,0.010557695817574009,20,0.9413120229191667,0.010623066142423476,20,670
resnext50,1331,0.9396771746647927,0.01139069334186967,20,0.9394991551590006,0.01160595551002936,20,670
resnext50,1332,0.9398239742989091,0.011015731568217228,20,0.9397506407882064,0.011108120960540258,20,670
vit_small,42,0.7382433125850568,0.016839891682823408,20,0.7373202400721117,0.01722943420811259,20,670
vit_small,1328,0.7388451241550097,0.02287508216832827,20,0.7381063516463567,0.02296306387753074,20,670
vit_small,1329,0.7356331570845325,0.021139917457073498,20,0.735005344879687,0.02140341144465653,20,670
vit_small,1330,0.739587377016264,0.022087182764040116,20,0.7386359528758072,0.02219659067544865,20,670
vit_small,1331,0.737198090266158,0.020453183212708857,20,0.7362172263350262,0.02030794710409178,20,670
vit_small,1332,0.7331642237244271,0.017814995635972376,20,0.7324773262785877,0.017726277397105947,20,670
