filename,gtlabel,topk0,topk1,topk2,topk3,topk4,topk5,topk6,topk7,topk8,topk9
n01440764_237.JPEG,0,0,1,3,4,6,7,2,5,9,8
n01440764_239.JPEG,0,0,3,7,5,6,2,1,9,4,8
n01440764_2094.JPEG,0,0,3,9,1,7,4,2,8,6,5
n01440764_2095.JPEG,0,0,1,8,4,3,6,9,5,2,7
n01440764_2098.JPEG,0,0,5,1,7,9,2,3,8,6,4
n01440764_2102.JPEG,0,0,9,3,1,5,7,6,2,8,4
n01440764_2117.JPEG,0,0,1,8,7,5,3,2,4,6,9
n01440764_2118.JPEG,0,0,3,2,7,4,6,9,1,5,8
n01440764_2121.JPEG,0,0,2,4,3,7,9,1,6,5,8
n01440764_2144.JPEG,0,0,9,5,2,7,1,8,6,3,4
n01440764_2159.JPEG,0,0,5,8,1,3,7,2,9,4,6
n01440764_2162.JPEG,0,0,4,8,9,3,7,1,5,6,2
n01440764_2196.JPEG,0,0,8,1,5,2,3,7,9,6,4
n01440764_2221.JPEG,0,0,5,6,2,7,3,1,8,4,9
n01440764_2255.JPEG,0,0,2,4,7,1,3,5,9,6,8
n01440764_2271.JPEG,0,0,8,1,3,2,4,7,5,6,9
n01440764_2275.JPEG,0,0,1,8,4,2,3,7,6,9,5
n01440764_2290.JPEG,0,0,1,3,8,5,7,6,9,2,4
n01440764_2298.JPEG,0,0,1,8,3,7,4,9,2,5,6
n01440764_2314.JPEG,0,0,1,7,9,2,3,8,5,6,4
n01440764_2369.JPEG,0,0,2,1,8,7,9,4,6,3,5
n01440764_2375.JPEG,0,0,8,2,6,1,9,7,5,4,3
n01440764_2385.JPEG,0,8,0,9,1,4,7,6,5,3,2
n01440764_2418.JPEG,0,0,5,4,9,1,7,6,2,3,8
n01440764_2427.JPEG,0,0,5,2,9,4,6,7,1,8,3
n01440764_2433.JPEG,0,0,2,5,8,7,1,4,6,3,9
n01440764_2465.JPEG,0,0,9,8,4,1,6,7,3,2,5
n01440764_2490.JPEG,0,0,3,1,9,6,7,2,8,4,5
n01440764_2544.JPEG,0,0,9,2,4,5,8,7,6,1,3
n01440764_2546.JPEG,0,0,5,3,6,1,7,2,8,4,9
n01440764_2563.JPEG,0,0,3,2,8,1,4,7,5,6,9
n01440764_21005.JPEG,0,5,0,3,7,1,2,8,9,6,4
n01440764_21043.JPEG,0,0,1,7,3,8,2,5,6,9,4
n01440764_21052.JPEG,0,0,1,5,3,9,7,2,8,6,4
n01440764_21095.JPEG,0,0,8,3,6,9,2,7,5,1,4
n01440764_21161.JPEG,0,0,8,3,7,1,5,2,9,4,6
n01440764_21191.JPEG,0,0,1,6,3,7,2,4,9,8,5
n01440764_21603.JPEG,0,0,2,7,6,8,4,9,1,5,3
n01440764_21695.JPEG,0,0,3,2,6,7,9,8,4,5,1
n01440764_21790.JPEG,0,0,1,9,7,4,2,8,6,3,5
n01440764_21809.JPEG,0,0,1,9,4,6,7,2,5,3,8
n01440764_21955.JPEG,0,0,8,7,6,2,3,1,5,9,4
n01440764_22029.JPEG,0,0,2,6,9,1,7,4,3,5,8
n01440764_22135.JPEG,0,0,5,4,7,2,8,3,6,1,9
n01440764_22277.JPEG,0,0,6,4,7,2,8,9,1,5,3
n01440764_22706.JPEG,0,3,2,5,9,0,8,6,7,4,1
n01440764_22773.JPEG,0,0,5,3,6,7,2,1,8,9,4
n01440764_22873.JPEG,0,0,7,2,9,1,6,3,5,8,4
n01440764_22948.JPEG,0,0,5,2,7,4,9,1,6,8,3
n01440764_22963.JPEG,0,0,8,9,1,7,2,5,6,3,4
n01440764_23111.JPEG,0,0,6,9,1,4,3,7,2,5,8
n01440764_23259.JPEG,0,0,9,8,3,6,7,1,4,5,2
n01440764_23379.JPEG,0,0,5,1,9,4,6,8,3,7,2
n01440764_23447.JPEG,0,0,5,3,1,6,7,8,2,9,4
n01440764_23493.JPEG,0,0,3,2,4,1,7,9,5,8,6
n01440764_23606.JPEG,0,0,7,9,1,6,2,4,3,5,8
n01440764_23629.JPEG,0,0,3,5,1,7,2,6,9,8,4
n01440764_23646.JPEG,0,0,3,6,4,9,7,8,1,2,5
n01440764_24047.JPEG,0,0,1,3,8,4,5,6,7,2,9
n01440764_24299.JPEG,0,0,8,5,2,7,4,9,1,6,3
n01440764_24502.JPEG,0,0,3,4,2,8,1,7,6,9,5
n01440764_24828.JPEG,0,0,8,1,7,3,5,6,2,9,4
n01440764_25064.JPEG,0,0,3,9,1,8,5,6,4,7,2
n01440764_25090.JPEG,0,0,9,4,8,1,6,7,5,2,3
n01440764_25148.JPEG,0,0,9,4,7,6,2,1,8,3,5
n01440764_25361.JPEG,0,0,3,1,5,8,9,6,7,2,4
n01440764_25370.JPEG,0,0,1,8,5,3,2,7,4,9,6
n01440764_25478.JPEG,0,0,6,7,2,3,4,9,1,5,8
n02102040_35.JPEG,1,1,8,0,2,7,4,9,6,5,3
n02102040_334.JPEG,1,1,8,2,4,7,9,6,5,0,3
n02102040_335.JPEG,1,1,8,4,7,2,6,5,9,0,3
n02102040_337.JPEG,1,1,0,7,8,4,9,2,5,6,3
n02102040_338.JPEG,1,1,9,8,4,5,2,3,0,6,7
n02102040_341.JPEG,1,1,7,6,5,3,4,2,9,0,8
n02102040_350.JPEG,1,1,2,6,7,4,3,9,5,8,0
n02102040_352.JPEG,1,1,8,6,4,2,5,7,9,0,3
n02102040_357.JPEG,1,1,8,9,6,4,7,0,5,2,3
n02102040_358.JPEG,1,1,5,9,2,8,0,7,6,3,4
n02102040_362.JPEG,1,1,5,6,7,2,9,8,3,4,0
n02102040_364.JPEG,1,1,9,0,6,7,3,2,8,4,5
n02102040_3324.JPEG,1,1,4,8,7,9,0,6,3,2,5
n02102040_3335.JPEG,1,1,8,0,3,2,9,6,5,7,4
n02102040_3343.JPEG,1,1,4,6,2,3,0,8,7,5,9
n02102040_3355.JPEG,1,1,6,5,2,9,7,0,8,4,3
n02102040_3358.JPEG,1,1,6,7,2,5,3,8,4,0,9
n02102040_3371.JPEG,1,1,8,0,2,9,4,6,7,5,3
n02102040_3372.JPEG,1,1,6,2,0,3,7,5,4,9,8
n02102040_3381.JPEG,1,3,1,0,6,7,4,2,5,9,8
n02102040_3397.JPEG,1,1,6,4,7,8,9,2,0,5,3
n02102040_3417.JPEG,1,1,9,5,2,0,8,6,7,4,3
n02102040_3418.JPEG,1,9,1,0,4,3,6,7,8,5,2
n02102040_3420.JPEG,1,1,2,6,7,4,8,0,5,3,9
n02102040_3424.JPEG,1,1,8,3,6,2,0,4,7,9,5
n02102040_3437.JPEG,1,1,2,5,4,7,8,9,3,6,0
n02102040_3450.JPEG,1,1,9,6,2,3,8,0,7,5,4
n02102040_3452.JPEG,1,1,4,2,8,6,9,7,5,0,3
n02102040_3456.JPEG,1,1,2,9,4,5,8,6,7,0,3
n02102040_3462.JPEG,1,1,2,4,7,6,5,9,8,3,0
n02102040_3472.JPEG,1,1,3,8,0,5,6,4,9,2,7
n02102040_3476.JPEG,1,1,0,8,3,9,2,6,7,4,5
n02102040_3485.JPEG,1,1,6,3,2,9,7,5,4,8,0
n02102040_3495.JPEG,1,1,0,8,2,7,6,9,3,4,5
n02102040_3496.JPEG,1,1,2,0,3,5,6,7,4,9,8
n02102040_3502.JPEG,1,1,4,5,7,6,2,8,9,0,3
n02102040_3506.JPEG,1,1,0,5,7,3,2,8,9,4,6
n02102040_3514.JPEG,1,1,8,9,4,2,6,7,5,0,3
n02102040_3526.JPEG,1,3,1,2,5,9,7,4,8,6,0
n02102040_3530.JPEG,1,1,2,9,6,4,7,8,5,0,3
n02102040_3532.JPEG,1,1,2,8,4,5,0,7,6,3,9
n02102040_3558.JPEG,1,1,9,8,6,4,7,2,5,0,3
n02102040_3559.JPEG,1,1,0,2,6,9,4,7,8,3,5
n02102040_3562.JPEG,1,1,3,5,0,6,9,2,7,4,8
n02102040_3563.JPEG,1,1,8,5,4,3,6,9,7,0,2
n02102040_3575.JPEG,1,7,3,5,6,1,4,2,0,8,9
n02102040_3582.JPEG,1,1,2,9,3,7,6,8,4,5,0
n02102040_3586.JPEG,1,1,5,4,8,7,2,6,9,3,0
n02102040_3587.JPEG,1,1,8,5,0,4,9,7,6,2,3
n02102040_3593.JPEG,1,1,5,7,9,6,0,8,3,2,4
n02102040_3597.JPEG,1,1,2,5,6,7,4,3,8,9,0
n02102040_3601.JPEG,1,1,9,2,5,8,0,7,4,3,6
n02102040_3604.JPEG,1,1,4,7,6,5,2,3,8,9,0
n02102040_3608.JPEG,1,1,2,6,4,8,7,5,9,3,0
n02102040_3610.JPEG,1,1,6,5,8,2,7,0,4,9,3
n02102040_3621.JPEG,1,1,9,6,7,0,3,4,2,5,8
n02102040_3628.JPEG,1,1,6,9,7,4,5,2,0,8,3
n02102040_3637.JPEG,1,1,3,4,9,0,7,6,5,8,2
n02102040_3640.JPEG,1,1,8,2,5,3,9,4,7,6,0
n02102040_3644.JPEG,1,1,9,6,2,7,5,0,4,3,8
n02102040_3649.JPEG,1,1,4,8,2,9,7,6,3,0,5
n02102040_3660.JPEG,1,4,1,3,6,0,2,8,7,9,5
n02102040_3664.JPEG,1,1,0,7,8,2,6,5,3,4,9
n02102040_3668.JPEG,1,1,3,8,2,4,6,7,0,9,5
n02102040_3681.JPEG,1,1,0,3,6,2,9,7,4,8,5
