filename,gtlabel,topk0,topk1,topk2,topk3,topk4,topk5,topk6,topk7,topk8,topk9
n01440764_1091.JPEG,0,0,1,9,4,2,3,7,6,8,5
n01440764_1108.JPEG,0,0,5,2,8,7,6,1,9,4,3
n01440764_1113.JPEG,0,0,1,2,6,7,9,5,4,3,8
n01440764_1135.JPEG,0,0,8,5,2,3,7,1,9,4,6
n01440764_1141.JPEG,0,0,1,8,3,7,9,4,6,2,5
n01440764_1145.JPEG,0,0,5,7,1,9,3,2,6,4,8
n01440764_1154.JPEG,0,0,3,7,8,9,6,2,5,1,4
n01440764_1155.JPEG,0,0,8,3,7,5,2,1,9,6,4
n01440764_10852.JPEG,0,0,7,1,4,2,6,5,9,8,3
n01440764_10878.JPEG,0,0,4,7,6,2,9,3,8,1,5
n01440764_10910.JPEG,0,0,1,3,2,5,6,7,8,9,4
n01440764_10969.JPEG,0,0,4,9,8,1,7,3,6,5,2
n01440764_10979.JPEG,0,0,7,5,9,1,6,4,2,3,8
n01440764_10995.JPEG,0,0,3,7,2,1,6,9,4,5,8
n01440764_11011.JPEG,0,0,7,3,8,5,6,1,2,9,4
n01440764_11018.JPEG,0,0,8,1,3,7,5,6,2,9,4
n01440764_11044.JPEG,0,0,7,8,5,4,3,2,9,6,1
n01440764_11063.JPEG,0,0,3,7,4,6,5,8,1,9,2
n01440764_11085.JPEG,0,0,9,7,6,4,8,5,3,1,2
n01440764_11145.JPEG,0,0,1,3,6,9,4,2,5,7,8
n01440764_11151.JPEG,0,0,3,6,7,4,9,2,5,1,8
n01440764_11155.JPEG,0,0,5,7,6,2,3,4,8,9,1
n01440764_11170.JPEG,0,0,2,4,8,3,7,9,6,1,5
n01440764_11190.JPEG,0,0,3,7,5,2,8,6,1,9,4
n01440764_11211.JPEG,0,0,9,8,7,6,1,4,2,3,5
n01440764_11213.JPEG,0,0,3,6,7,1,5,2,9,4,8
n01440764_11225.JPEG,0,0,6,1,7,2,3,5,4,9,8
n01440764_11281.JPEG,0,0,7,9,6,1,4,3,2,8,5
n01440764_11314.JPEG,0,0,4,2,7,3,5,6,8,1,9
n01440764_11331.JPEG,0,0,6,5,7,3,9,1,2,8,4
n01440764_11335.JPEG,0,0,4,6,7,9,2,1,8,3,5
n01440764_11339.JPEG,0,0,4,2,8,1,5,9,7,6,3
n01440764_11346.JPEG,0,0,8,1,3,7,9,5,2,6,4
n01440764_11350.JPEG,0,0,5,8,1,7,9,2,3,6,4
n01440764_11396.JPEG,0,0,5,6,7,1,9,8,2,4,3
n01440764_11400.JPEG,0,0,3,9,7,5,1,8,2,6,4
n01440764_11420.JPEG,0,0,6,2,1,5,9,7,3,4,8
n01440764_11424.JPEG,0,0,8,4,9,5,7,3,2,1,6
n01440764_11444.JPEG,0,0,3,1,5,2,7,9,8,6,4
