filename,gtlabel,topk0,topk1,topk2,topk3,topk4,topk5,topk6,topk7,topk8,topk9
n01440764_105.JPEG,0,0,9,8,2,7,4,6,1,3,5
n01440764_107.JPEG,0,0,3,8,9,2,5,7,6,4,1
n01440764_1024.JPEG,0,0,9,5,8,6,4,3,1,7,2
n01440764_1063.JPEG,0,0,9,8,5,1,4,3,7,6,2
n01440764_10183.JPEG,0,0,9,5,8,7,4,2,3,1,6
n01440764_10194.JPEG,0,0,2,4,9,6,5,7,8,1,3
n01440764_10211.JPEG,0,3,0,9,7,5,1,8,6,4,2
n01440764_10218.JPEG,0,0,8,7,6,2,5,4,9,1,3
n01440764_10227.JPEG,0,0,3,1,4,8,5,9,2,6,7
n01440764_10251.JPEG,0,0,7,6,4,1,3,2,9,8,5
n01440764_10254.JPEG,0,0,8,7,4,5,6,3,2,9,1
n01440764_10281.JPEG,0,0,7,4,2,9,8,5,6,1,3
n01440764_10290.JPEG,0,0,3,9,7,8,4,5,2,6,1
n01440764_10293.JPEG,0,0,6,2,4,8,5,9,7,3,1
n01440764_10307.JPEG,0,0,1,7,2,6,8,4,9,5,3
n01440764_10317.JPEG,0,0,6,2,7,9,5,4,1,8,3
n01440764_10319.JPEG,0,0,9,7,3,4,1,6,2,5,8
n01440764_10320.JPEG,0,0,9,4,8,7,6,2,5,1,3
n01440764_10323.JPEG,0,0,4,7,6,2,1,9,8,3,5
n01440764_10331.JPEG,0,5,0,3,7,2,6,4,8,1,9
n01440764_10342.JPEG,0,0,2,6,9,5,4,7,8,1,3
n01440764_10361.JPEG,0,0,4,2,7,6,9,8,1,3,5
n01440764_10365.JPEG,0,0,9,7,4,2,5,8,3,1,6
n01440764_10373.JPEG,0,0,9,5,4,3,2,6,7,8,1
n01440764_10380.JPEG,0,0,3,6,2,7,9,4,1,5,8
n01440764_10382.JPEG,0,0,4,2,8,7,3,9,6,5,1
n01440764_10398.JPEG,0,0,7,9,1,4,2,6,5,8,3
n01440764_10410.JPEG,0,0,6,7,3,4,5,2,9,1,8
n01440764_10427.JPEG,0,0,9,7,5,8,4,3,6,2,1
n01440764_10444.JPEG,0,0,7,2,4,9,6,8,1,5,3
n01440764_10449.JPEG,0,0,5,7,3,9,2,1,8,4,6
n01440764_10462.JPEG,0,0,7,2,9,4,5,6,8,1,3
n01440764_10464.JPEG,0,0,2,9,4,7,8,5,6,3,1
n01440764_10470.JPEG,0,0,7,4,2,6,1,8,3,9,5
n01440764_10482.JPEG,0,0,6,2,9,4,7,5,8,1,3
n01440764_10491.JPEG,0,0,9,4,8,7,6,1,2,5,3
n01440764_10514.JPEG,0,0,8,7,6,2,4,9,5,1,3
n01440764_10529.JPEG,0,0,2,9,6,1,7,5,4,3,8
n01440764_10531.JPEG,0,0,9,6,7,4,2,5,1,8,3
n01440764_10534.JPEG,0,0,8,9,7,4,2,6,5,1,3
n01440764_10542.JPEG,0,0,6,7,4,3,2,9,5,1,8
n01440764_10543.JPEG,0,0,7,4,8,6,9,2,5,1,3
n01440764_10548.JPEG,0,0,2,7,4,8,3,6,9,1,5
n01440764_10550.JPEG,0,0,4,2,5,9,7,6,3,8,1
n01440764_10555.JPEG,0,0,5,8,6,9,3,7,2,4,1
n01440764_10569.JPEG,0,0,9,4,2,5,8,6,7,1,3
n01440764_10587.JPEG,0,0,8,7,9,5,4,6,2,1,3
n01440764_10592.JPEG,0,0,7,5,2,3,8,1,9,4,6
n01440764_10604.JPEG,0,0,3,6,7,8,4,1,9,5,2
n01440764_10619.JPEG,0,0,6,4,7,8,2,9,5,1,3
