filename,gtlabel,topk0,topk1,topk2,topk3,topk4,topk5,topk6,topk7,topk8,topk9
n01440764_866.JPEG,0,0,8,9,7,2,4,6,5,1,3
n01440764_885.JPEG,0,0,5,7,3,8,2,9,1,6,4
n01440764_886.JPEG,0,0,8,9,4,5,2,1,7,6,3
n01440764_898.JPEG,0,0,8,5,2,9,6,1,7,4,3
n01440764_910.JPEG,0,0,3,6,1,7,4,5,8,2,9
n01440764_921.JPEG,0,3,8,0,1,7,9,5,4,2,6
n01440764_925.JPEG,0,0,9,1,8,4,7,2,3,5,6
n01440764_8601.JPEG,0,0,1,8,3,7,6,4,2,5,9
n01440764_8610.JPEG,0,0,3,8,5,1,2,7,9,4,6
n01440764_8611.JPEG,0,0,6,3,2,7,9,4,5,1,8
n01440764_8613.JPEG,0,0,8,1,3,5,7,2,4,6,9
n01440764_8622.JPEG,0,0,9,4,2,5,6,7,1,8,3
n01440764_8623.JPEG,0,0,4,7,6,2,5,8,3,9,1
n01440764_8673.JPEG,0,0,9,8,4,7,5,6,1,2,3
n01440764_8688.JPEG,0,0,3,6,4,8,1,5,2,7,9
n01440764_8689.JPEG,0,0,5,9,2,6,4,1,3,7,8
n01440764_8699.JPEG,0,0,8,3,9,7,1,4,6,5,2
n01440764_8708.JPEG,0,0,6,7,4,1,9,2,8,3,5
n01440764_8710.JPEG,0,0,9,8,5,7,3,1,4,6,2
n01440764_8748.JPEG,0,0,1,7,5,9,4,6,3,8,2
n01440764_8757.JPEG,0,0,1,7,3,9,8,6,4,2,5
n01440764_8764.JPEG,0,0,8,9,4,7,2,6,5,1,3
n01440764_8771.JPEG,0,0,8,2,9,7,4,1,6,5,3
n01440764_8782.JPEG,0,0,2,6,1,4,9,3,7,5,8
n01440764_8783.JPEG,0,0,6,4,2,8,9,1,5,7,3
n01440764_8801.JPEG,0,0,7,4,6,9,8,1,2,5,3
n01440764_8805.JPEG,0,0,8,1,2,4,7,6,3,5,9
n01440764_8813.JPEG,0,0,8,7,6,5,3,4,1,2,9
n01440764_8826.JPEG,0,0,2,4,9,7,8,6,1,5,3
n01440764_8834.JPEG,0,0,3,8,5,6,7,9,1,2,4
n01440764_8849.JPEG,0,0,3,6,4,5,2,9,8,7,1
n01440764_8852.JPEG,0,0,8,3,7,9,2,1,4,6,5
n01440764_8875.JPEG,0,0,4,2,6,8,7,9,1,5,3
n01440764_8878.JPEG,0,0,8,4,9,6,7,2,1,5,3
n01440764_8885.JPEG,0,0,3,5,1,7,9,8,6,4,2
n01440764_8903.JPEG,0,0,5,7,8,1,2,3,4,9,6
n01440764_8908.JPEG,0,0,8,2,4,7,1,5,9,6,3
n01440764_8910.JPEG,0,0,1,3,6,8,5,9,7,2,4
n01440764_8917.JPEG,0,0,9,4,8,7,2,6,5,1,3
n01440764_8938.JPEG,0,0,4,9,6,8,2,7,5,1,3
n01440764_8948.JPEG,0,0,8,3,1,7,4,2,6,9,5
n01440764_8992.JPEG,0,0,9,3,5,7,4,8,2,1,6
n01440764_9020.JPEG,0,0,4,6,2,8,7,1,9,5,3
n01440764_9031.JPEG,0,0,5,4,7,9,6,3,1,2,8
n01440764_9057.JPEG,0,0,9,5,8,7,2,1,6,3,4
n01440764_9091.JPEG,0,0,7,5,6,1,3,9,4,8,2
n01440764_9093.JPEG,0,0,9,4,6,8,7,2,5,1,3
n01440764_9108.JPEG,0,0,8,3,7,4,2,6,1,5,9
n01440764_9135.JPEG,0,0,1,7,5,9,6,2,3,8,4
n01440764_9152.JPEG,0,0,8,6,4,7,9,1,5,2,3
n01440764_9157.JPEG,0,0,3,1,9,5,2,8,6,7,4
n01440764_9178.JPEG,0,0,6,4,9,7,3,5,1,8,2
n01440764_9191.JPEG,0,0,6,1,4,9,5,7,2,8,3
n01440764_9197.JPEG,0,0,3,1,4,5,8,9,6,7,2
n01440764_9212.JPEG,0,0,1,3,5,4,8,7,6,2,9
n01440764_9217.JPEG,0,0,7,4,8,1,6,5,2,9,3
n01440764_9229.JPEG,0,0,8,2,4,7,1,6,9,5,3
n01440764_9244.JPEG,0,0,3,4,6,1,7,2,5,8,9
n01440764_9289.JPEG,0,0,9,8,2,6,4,5,1,7,3
n01440764_9292.JPEG,0,0,8,5,9,7,1,3,6,2,4
n01440764_9304.JPEG,0,0,6,2,5,9,4,7,3,1,8
n01440764_9315.JPEG,0,0,5,4,2,1,6,7,9,3,8
n01440764_9374.JPEG,0,0,9,6,3,1,4,2,5,7,8
n01440764_9378.JPEG,0,0,7,4,8,6,2,1,9,5,3
n01440764_9390.JPEG,0,0,7,1,4,6,9,8,2,3,5
n01440764_9399.JPEG,0,0,7,6,5,8,1,9,2,4,3
n01440764_9428.JPEG,0,0,8,4,7,5,9,6,2,1,3
n02102040_83.JPEG,1,1,3,8,6,2,7,9,0,5,4
n02102040_787.JPEG,1,1,8,5,4,2,0,7,6,3,9
n02102040_791.JPEG,1,1,9,7,8,3,0,5,6,4,2
