filename,gtlabel,topk0,topk1,topk2,topk3,topk4,topk5,topk6,topk7,topk8,topk9
n01440764_827.JPEG,0,0,1,8,3,4,2,6,5,7,9
n01440764_833.JPEG,0,0,2,8,1,7,4,6,9,3,5
n01440764_844.JPEG,0,0,7,2,8,6,1,4,5,3,9
n01440764_853.JPEG,0,0,4,5,3,7,6,8,1,9,2
n01440764_8063.JPEG,0,0,4,8,5,9,2,1,7,3,6
n01440764_8067.JPEG,0,0,1,8,4,5,7,2,6,3,9
n01440764_8077.JPEG,0,0,4,2,9,8,1,3,6,5,7
n01440764_8082.JPEG,0,0,9,2,5,6,7,8,1,4,3
n01440764_8084.JPEG,0,0,6,7,2,4,1,8,3,9,5
n01440764_8112.JPEG,0,0,4,7,6,2,3,1,9,8,5
n01440764_8134.JPEG,0,5,0,2,7,4,3,8,6,9,1
n01440764_8142.JPEG,0,0,8,9,7,1,4,2,3,5,6
n01440764_8150.JPEG,0,0,8,2,7,6,5,9,1,4,3
n01440764_8160.JPEG,0,0,5,3,1,8,2,7,6,4,9
n01440764_8163.JPEG,0,0,5,3,2,7,8,4,6,1,9
n01440764_8164.JPEG,0,0,1,8,2,7,4,5,6,9,3
n01440764_8191.JPEG,0,0,4,6,7,2,1,8,3,9,5
n01440764_8210.JPEG,0,0,2,4,8,5,6,7,1,9,3
n01440764_8215.JPEG,0,0,8,1,6,3,4,7,2,5,9
n01440764_8219.JPEG,0,0,8,9,3,7,2,5,1,6,4
n01440764_8221.JPEG,0,0,6,4,2,3,9,5,1,8,7
n01440764_8240.JPEG,0,0,8,4,6,7,9,5,1,2,3
n01440764_8243.JPEG,0,0,8,2,4,9,1,7,5,6,3
n01440764_8246.JPEG,0,0,8,7,2,4,1,6,9,3,5
n01440764_8249.JPEG,0,0,3,8,2,1,7,5,4,9,6
n01440764_8250.JPEG,0,3,0,1,8,9,2,5,6,4,7
n01440764_8260.JPEG,0,0,4,8,9,2,7,1,5,6,3
n01440764_8288.JPEG,0,0,7,3,9,1,6,5,4,8,2
n01440764_8302.JPEG,0,0,8,4,2,1,6,7,5,9,3
n01440764_8311.JPEG,0,1,5,8,4,0,9,6,3,7,2
n01440764_8312.JPEG,0,0,1,4,9,2,8,6,3,5,7
n01440764_8334.JPEG,0,0,3,4,2,7,6,5,9,8,1
n01440764_8343.JPEG,0,0,3,8,4,2,1,5,6,7,9
n01440764_8347.JPEG,0,0,7,4,6,2,1,8,3,9,5
n01440764_8363.JPEG,0,0,8,6,9,4,2,7,1,5,3
n01440764_8364.JPEG,0,0,7,4,6,2,3,8,1,5,9
n01440764_8367.JPEG,0,0,6,4,8,7,2,9,1,5,3
