filename,gtlabel,topk0,topk1,topk2,topk3,topk4,topk5,topk6,topk7,topk8,topk9
n01440764_73.JPEG,0,3,0,1,8,6,5,2,7,9,4
n01440764_710.JPEG,0,0,3,1,5,8,4,6,2,7,9
n01440764_724.JPEG,0,0,3,6,9,4,5,7,8,1,2
n01440764_739.JPEG,0,0,2,5,3,1,6,7,8,9,4
n01440764_747.JPEG,0,0,8,1,3,9,5,4,2,6,7
n01440764_6843.JPEG,0,0,8,2,4,6,3,7,1,9,5
n01440764_6852.JPEG,0,0,8,3,1,5,6,9,4,7,2
n01440764_6870.JPEG,0,0,9,6,8,3,1,7,5,2,4
n01440764_6878.JPEG,0,0,3,5,1,6,8,7,2,4,9
n01440764_6887.JPEG,0,0,3,8,1,5,2,7,9,6,4
n01440764_6903.JPEG,0,0,2,6,7,3,9,1,5,4,8
n01440764_6917.JPEG,0,0,4,9,3,6,1,5,8,2,7
n01440764_6924.JPEG,0,0,2,6,4,5,3,9,7,1,8
n01440764_6936.JPEG,0,0,3,1,5,8,4,6,7,9,2
n01440764_6945.JPEG,0,0,3,8,5,6,9,7,2,1,4
n01440764_6949.JPEG,0,0,8,1,5,9,3,4,2,6,7
n01440764_6954.JPEG,0,0,3,5,1,4,9,8,6,7,2
n01440764_6958.JPEG,0,0,3,1,5,4,9,7,6,8,2
n01440764_6962.JPEG,0,0,5,1,3,2,7,6,8,9,4
n01440764_6964.JPEG,0,0,4,3,1,9,8,7,6,2,5
n01440764_6974.JPEG,0,0,4,1,5,3,7,9,8,6,2
n01440764_6975.JPEG,0,0,5,1,6,3,4,2,8,9,7
n01440764_6990.JPEG,0,0,1,4,5,2,8,6,9,7,3
n01440764_7004.JPEG,0,0,8,3,1,4,6,9,5,7,2
n01440764_7016.JPEG,0,0,1,4,6,7,3,2,5,9,8
n01440764_7030.JPEG,0,0,8,3,2,1,9,7,5,4,6
n01440764_7040.JPEG,0,4,3,9,1,6,0,8,7,5,2
n01440764_7044.JPEG,0,0,1,3,5,6,4,7,8,2,9
n01440764_7055.JPEG,0,0,6,1,4,2,9,3,7,5,8
n01440764_7056.JPEG,0,0,2,4,9,3,6,5,8,7,1
n01440764_7131.JPEG,0,3,0,5,1,9,6,7,8,4,2
n01440764_7137.JPEG,0,0,8,3,6,5,9,1,7,4,2
n01440764_7142.JPEG,0,0,9,3,5,1,7,6,2,8,4
n01440764_7153.JPEG,0,0,1,5,3,6,8,2,7,4,9
n01440764_7154.JPEG,0,0,4,3,6,9,8,7,1,2,5
n01440764_7157.JPEG,0,0,1,5,8,9,2,4,7,6,3
n01440764_7158.JPEG,0,0,6,2,4,3,1,9,7,8,5
n01440764_7160.JPEG,0,3,0,1,5,6,9,2,4,7,8
n01440764_7173.JPEG,0,0,3,6,1,8,7,5,2,9,4
n01440764_7185.JPEG,0,0,9,5,3,1,8,7,2,6,4
n01440764_7210.JPEG,0,0,8,1,9,3,5,6,2,4,7
n01440764_7230.JPEG,0,0,1,3,2,6,7,5,8,4,9
n01440764_7253.JPEG,0,5,1,3,2,4,0,9,7,6,8
