filename,gtlabel,topk0,topk1,topk2,topk3,topk4,topk5,topk6,topk7,topk8,topk9
n01440764_18.JPEG,0,0,8,3,7,6,9,4,5,2,1
n01440764_172.JPEG,0,0,4,8,3,6,5,1,9,7,2
n01440764_188.JPEG,0,0,9,8,7,6,3,1,5,4,2
n01440764_190.JPEG,0,0,4,3,6,5,7,1,9,2,8
n01440764_192.JPEG,0,0,8,3,5,9,1,4,7,6,2
n01440764_200.JPEG,0,0,6,3,9,8,7,1,4,5,2
n01440764_1703.JPEG,0,0,3,9,1,4,7,5,6,8,2
n01440764_1713.JPEG,0,3,0,1,7,6,9,4,5,8,2
n01440764_1735.JPEG,0,0,6,2,9,3,4,8,1,5,7
n01440764_1764.JPEG,0,0,3,1,2,6,8,4,5,9,7
n01440764_1766.JPEG,0,0,5,3,6,7,2,9,4,8,1
n01440764_1770.JPEG,0,0,6,9,1,7,3,2,8,4,5
n01440764_1775.JPEG,0,0,1,8,5,7,3,6,4,9,2
n01440764_1778.JPEG,0,0,8,1,4,7,3,6,9,5,2
n01440764_1793.JPEG,0,0,5,3,1,2,6,7,4,9,8
n01440764_1798.JPEG,0,0,4,9,8,6,5,2,7,1,3
n01440764_1827.JPEG,0,0,1,8,3,6,7,9,4,2,5
n01440764_1869.JPEG,0,5,1,3,0,7,4,6,2,8,9
n01440764_1905.JPEG,0,0,6,4,8,9,7,2,5,1,3
n01440764_1951.JPEG,0,8,6,9,1,0,4,2,7,3,5
n01440764_1973.JPEG,0,0,3,1,2,9,4,7,5,6,8
n01440764_1980.JPEG,0,0,3,2,6,7,1,8,5,9,4
n01440764_1995.JPEG,0,0,1,3,9,6,7,5,8,4,2
n01440764_2001.JPEG,0,0,3,6,1,9,8,5,7,2,4
n01440764_2002.JPEG,0,1,8,0,4,3,6,7,9,5,2
n01440764_2006.JPEG,0,0,3,6,4,1,8,9,5,2,7
n01440764_2015.JPEG,0,4,2,7,6,0,8,3,5,9,1
n01440764_2018.JPEG,0,0,8,1,5,2,7,4,6,3,9
n01440764_2043.JPEG,0,0,4,8,3,1,5,9,6,2,7
n01440764_16957.JPEG,0,1,4,6,0,3,7,9,5,8,2
n01440764_16969.JPEG,0,0,8,4,9,1,5,3,2,6,7
n01440764_16982.JPEG,0,0,2,6,9,3,8,5,1,7,4
n01440764_17050.JPEG,0,0,9,6,7,3,4,8,1,2,5
n01440764_17058.JPEG,0,0,8,1,9,3,7,5,6,2,4
