filename,gtlabel,topk0,topk1,topk2,topk3,topk4,topk5,topk6,topk7,topk8,topk9
n01440764_298.JPEG,0,0,5,3,8,4,1,6,2,7,9
n01440764_315.JPEG,0,0,2,3,9,6,8,5,4,7,1
n01440764_320.JPEG,0,0,8,1,3,5,4,9,2,7,6
n01440764_334.JPEG,0,0,8,9,4,7,2,6,1,3,5
n01440764_341.JPEG,0,0,2,4,5,6,3,8,7,9,1
n01440764_2978.JPEG,0,0,6,1,4,9,3,5,7,2,8
n01440764_2993.JPEG,0,0,3,1,5,6,8,9,7,2,4
n01440764_3011.JPEG,0,0,5,3,8,9,1,2,6,7,4
n01440764_3039.JPEG,0,1,9,7,4,6,3,8,0,2,5
n01440764_3048.JPEG,0,0,8,3,4,2,9,1,5,6,7
n01440764_3070.JPEG,0,0,4,9,8,6,3,7,5,2,1
n01440764_3096.JPEG,0,5,6,3,0,1,7,2,8,4,9
n01440764_3098.JPEG,0,0,6,9,4,3,2,5,7,8,1
n01440764_3129.JPEG,0,0,8,2,9,1,4,3,6,5,7
n01440764_3146.JPEG,0,0,6,3,5,1,8,9,4,7,2
n01440764_3151.JPEG,0,0,5,3,4,6,7,1,9,2,8
n01440764_3172.JPEG,0,0,3,1,5,9,6,4,7,8,2
n01440764_3176.JPEG,0,0,1,5,2,7,8,4,3,6,9
n01440764_3197.JPEG,0,0,5,4,7,3,6,1,9,2,8
n01440764_3198.JPEG,0,0,4,3,5,2,6,1,7,9,8
n01440764_3199.JPEG,0,0,9,8,3,6,1,2,5,7,4
n01440764_3202.JPEG,0,0,4,1,8,9,5,2,3,6,7
n01440764_3236.JPEG,0,0,1,3,6,5,9,4,8,7,2
n01440764_3251.JPEG,0,0,2,4,6,7,3,9,1,8,5
n01440764_3259.JPEG,0,0,7,1,5,2,9,4,3,6,8
n01440764_3269.JPEG,0,0,3,5,8,2,6,1,9,7,4
n01440764_3271.JPEG,0,0,6,4,9,3,7,8,5,2,1
n01440764_3273.JPEG,0,0,3,5,6,2,9,8,7,4,1
n01440764_3281.JPEG,0,8,0,1,3,5,7,9,4,2,6
n01440764_3287.JPEG,0,0,4,2,7,8,3,9,1,5,6
n01440764_3289.JPEG,0,0,4,9,3,2,8,6,1,7,5
n01440764_3306.JPEG,0,0,3,5,4,6,2,9,8,1,7
n01440764_3308.JPEG,0,0,5,4,2,8,6,3,9,7,1
n01440764_3325.JPEG,0,0,1,8,3,2,5,7,6,9,4
n01440764_3347.JPEG,0,0,1,3,8,9,5,6,2,7,4
n01440764_3354.JPEG,0,0,3,1,7,5,9,4,2,8,6
